
 num     #instances         #bytes  class name
 227:            33            528  java.util.HashMap$KeySet
 228:            22            528  sun.reflect.annotation.AnnotationInvocationHandler
 229:            16            512  io.netty.handler.codec.CodecOutputList
 230:            21            504  java.util.Locale$LocaleKey
 231:            15            480  com.intellij.util.lang.JavaVersion
 232:            12            480  java.io.BufferedInputStream
 233:            15            480  java.nio.DirectByteBuffer$Deallocator
 234:            16            464  [Ljava.io.ObjectStreamField;
 235:            29            464  org.jetbrains.jps.model.ex.JpsElementChildRoleBase
 236:             6            456  [Lsun.invoke.util.Wrapper;
 237:            14            448  java.util.Vector
 238:            14            448  java.util.regex.Pattern$Curly
 239:             7            448  jdk.internal.org.objectweb.asm.FieldWriter
 240:            25            440  [Lsun.reflect.generics.tree.TypeArgument;
 241:            11            440  com.intellij.util.io.ReadWriteDirectBufferWrapper
 242:            11            440  gnu.trove.THashSet
 243:             1            432  [[[C
 244:             9            432  org.jetbrains.jps.incremental.storage.BuildTargetTypeState
 245:            18            432  sun.misc.MetaIndex
 246:            18            432  sun.nio.fs.WindowsFileAttributeViews$Basic
 247:             6            416  [Lio.netty.buffer.PoolThreadCache$MemoryRegionCache;
 248:            17            408  java.util.regex.Pattern$Single
 249:            17            408  org.jetbrains.jps.model.ex.JpsElementContainerImpl
 250:            10            400  com.intellij.util.io.IntToIntBtree$BtreeIndexNodeView
 251:            10            400  java.lang.invoke.DirectMethodHandle$Accessor
 252:            16            384  com.intellij.util.SmartList
 253:             8            384  com.intellij.util.io.PersistentHashMap$4
 254:             8            384  com.sun.org.apache.xerces.internal.util.XMLAttributesImpl$Attribute
 255:            16            384  java.lang.Class$AnnotationData
 256:            16            384  java.lang.invoke.ConstantCallSite
 257:            16            384  java.lang.invoke.InfoFromMemberName
 258:            16            384  java.lang.invoke.InnerClassLambdaMetafactory$ForwardingMethodGenerator
 259:             1            384  java.lang.ref.Finalizer$FinalizerThread
 260:             1            384  java.util.logging.LogManager$Cleaner
 261:             8            384  java.util.logging.LogManager$LoggerWeakRef
 262:            24            384  org.jetbrains.jps.model.JpsElementChildRole
 263:            12            384  org.jetbrains.jps.model.impl.JpsElementCollectionImpl
 264:            16            384  sun.nio.ch.OptionKey
 265:            16            384  sun.nio.ch.SocketOptionRegistry$RegistryKey
 266:            24            384  sun.reflect.generics.tree.ClassTypeSignature
 267:            11            376  [Ljava.lang.invoke.LambdaForm$BasicType;
 268:             1            376  java.lang.ref.Reference$ReferenceHandler
 269:             7            360  [Ljava.beans.PropertyDescriptor;
 270:             9            360  com.sun.org.apache.xerces.internal.utils.XMLSecurityManager$Limit
 271:             9            360  java.io.PrintWriter
 272:            15            360  org.jetbrains.jps.model.java.LanguageLevel
 273:             9            360  sun.misc.URLClassPath$1
 274:             1            352  com.sun.org.apache.xerces.internal.impl.XMLNSDocumentScannerImpl
 275:            11            352  org.apache.log4j.helpers.PatternParser$LiteralPatternConverter
 276:            21            336  [Ljava.nio.file.attribute.FileAttribute;
 277:             7            336  java.beans.BeanDescriptor
 278:             7            336  java.io.BufferedReader
 279:            14            336  java.lang.invoke.LambdaFormEditor$Transform$Kind
 280:             6            336  java.nio.DirectLongBufferU
 281:             7            336  java.util.Properties
 282:            14            336  java.util.concurrent.atomic.AtomicLong
 283:             3            336  sun.nio.ch.SocketChannelImpl
 284:            14            336  sun.reflect.NativeMethodAccessorImpl
 285:             6            336  sun.util.calendar.ZoneInfo
 286:             4            328  [D
 287:            10            320  java.lang.OutOfMemoryError
 288:             8            320  java.util.IdentityHashMap
 289:            10            320  sun.reflect.generics.repository.ClassRepository
 290:            10            320  sun.security.jca.ProviderConfig
 291:            13            312  java.io.InputStreamReader
 292:            13            312  java.lang.invoke.Invokers
 293:            13            312  org.apache.log4j.Level
 294:             3            304  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 295:             9            288  com.intellij.util.containers.LimitedPool
 296:             9            288  com.sun.org.apache.xerces.internal.util.AugmentationsImpl$SmallContainer
 297:            12            288  com.sun.org.apache.xerces.internal.util.XMLStringBuffer
 298:            18            288  java.io.FileInputStream$1
 299:            12            288  java.lang.RuntimePermission
 300:             9            288  java.util.logging.Level
 301:             9            288  java.util.logging.LogManager$LogNode
 302:            12            288  java.util.regex.Pattern$GroupHead
 303:            12            288  java.util.regex.Pattern$GroupTail
 304:             6            288  jdk.internal.org.objectweb.asm.Frame
 305:             4            288  org.apache.log4j.spi.LoggingEvent
 306:             9            288  org.jetbrains.jps.incremental.storage.BuildTargetConfiguration
 307:            12            288  org.jetbrains.jps.model.ex.JpsElementCollectionRole
 308:             5            280  io.netty.channel.DefaultChannelHandlerContext
 309:             7            280  java.beans.GenericBeanInfo
 310:            17            272  io.netty.channel.$Proxy3
 311:             2            272  io.netty.util.internal.InternalThreadLocalMap
 312:            11            264  com.intellij.util.io.ReadWriteDirectBufferWrapper$FileContext$1
 313:            11            264  com.sun.org.apache.xerces.internal.xni.XMLString
 314:            11            264  java.net.StandardSocketOptions$StdSocketOption
 315:            11            264  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject
 316:            11            264  org.jdom.AttributeType
 317:             8            256  com.intellij.util.containers.UnsafeWeakList$MyReference
 318:             4            256  com.intellij.util.io.AppendableStorageBackedByResizableMappedFile
 319:             8            256  com.intellij.util.io.UnsyncByteArrayInputStream
 320:             4            256  io.netty.util.Recycler$Stack
 321:            16            256  java.lang.ThreadLocal
 322:            16            256  java.net.URLClassLoader$3$1
 323:            16            256  java.util.LinkedHashSet
 324:             8            256  org.apache.log4j.helpers.PatternParser$BasicPatternConverter
 325:             8            256  sun.misc.ProxyGenerator$PrimitiveTypeInfo
 326:             6            240  [Ljava.lang.invoke.BoundMethodHandle$SpeciesData;
 327:            10            240  com.google.protobuf.GeneratedMessageLite$MethodToInvoke
 328:            10            240  com.sun.org.apache.xerces.internal.impl.XMLScanner$NameType
 329:            10            240  java.lang.Class$1
 330:            10            240  java.lang.invoke.InnerClassLambdaMetafactory$1
 331:            10            240  java.nio.file.StandardOpenOption
 332:             5            240  java.util.TreeMap
 333:             5            240  java.util.concurrent.LinkedBlockingQueue
 334:            10            240  sun.reflect.generics.factory.CoreReflectionFactory
 335:            10            240  sun.reflect.generics.tree.ClassSignature
 336:             7            224  java.lang.reflect.Proxy$Key1
 337:             7            224  java.lang.reflect.WeakCache$CacheValue
 338:             7            224  java.net.InetAddress$InetAddressHolder
 339:             7            224  java.nio.file.attribute.FileTime
 340:             7            224  java.util.concurrent.atomic.AtomicLongFieldUpdater$CASUpdater
 341:             7            224  java.util.concurrent.atomic.AtomicReferenceFieldUpdater$AtomicReferenceFieldUpdaterImpl
 342:             7            224  java.util.regex.Pattern$Branch
 343:            14            224  sun.reflect.DelegatingMethodAccessorImpl
 344:             9            216  [Ljava.util.Enumeration;
